id_persona_cargo,n_titulares,id_afiliado_titular,estado_relacion
10003365,1,793996,Titular único
10003366,1,797097,Titular único
10003367,1,525552,Titular único
10003369,1,521490,Titular único
10003370,2,,Múltiples titulares
10003372,1,669953,Titular único
10003376,1,521722,Titular único
10003381,2,,Múltiples titulares
10003384,1,797812,Titular único
10003387,1,516603,Titular único
10003394,1,795020,Titular único
10003470,1,795954,Titular único
10003491,1,524405,Titular único
10003493,2,,Múltiples titulares
10003495,1,797154,Titular único
10003497,1,397504,Titular único
10003501,2,,Múltiples titulares
10003502,2,,Múltiples titulares
10003504,2,,Múltiples titulares
10003505,1,802621,Titular único
10003506,2,,Múltiples titulares
10003507,1,791295,Titular único
10003511,1,114109,Titular único
10003512,1,193896,Titular único
10003514,1,524406,Titular único
10003516,2,,Múltiples titulares
10003520,3,,Múltiples titulares
10003521,1,101749,Titular único
10003525,1,193460,Titular único
10003527,2,,Múltiples titulares
10003529,2,,Múltiples titulares
10003530,1,795994,Titular único
10003533,1,10342842,Titular único
10003534,1,799401,Titular único
10003535,2,,Múltiples titulares
10003536,1,10101713,Titular único
10003538,1,803628,Titular único
10003541,1,795918,Titular único
10003543,1,800654,Titular único
10003544,1,807637,Titular único
10003546,1,528360,Titular único
10003620,1,796425,Titular único
10003623,1,796858,Titular único
10003635,1,518893,Titular único
10003636,1,522501,Titular único
10003637,1,41367,Titular único
10003642,1,10153979,Titular único
10003643,4,,Múltiples titulares
10003644,2,,Múltiples titulares
10003645,2,,Múltiples titulares
10003647,5,,Múltiples titulares
10003648,1,799205,Titular único
10003649,1,523327,Titular único
10003650,2,,Múltiples titulares
10003651,2,,Múltiples titulares
10003652,1,797950,Titular único
10003653,2,,Múltiples titulares
10003654,1,793880,Titular único
10003657,2,,Múltiples titulares
10003658,2,,Múltiples titulares
10003659,1,528800,Titular único
10003661,1,407741,Titular único
10003664,1,516396,Titular único
10003717,1,193423,Titular único
10003721,1,794289,Titular único
10003722,3,,Múltiples titulares
10003724,3,,Múltiples titulares
10003725,1,397774,Titular único
10003726,2,,Múltiples titulares
10003727,1,804070,Titular único
10003728,2,,Múltiples titulares
10003729,3,,Múltiples titulares
10003730,1,516883,Titular único
10003753,1,802357,Titular único
10003761,1,524891,Titular único
10003763,1,108832,Titular único
10003778,1,790501,Titular único
10003779,1,799681,Titular único
10003781,1,395459,Titular único
10003783,1,42865,Titular único
10003784,2,,Múltiples titulares
10003785,1,799160,Titular único
10003787,1,521131,Titular único
10003793,3,,Múltiples titulares
10003794,1,527942,Titular único
10003796,1,522678,Titular único
10003798,2,,Múltiples titulares
10003800,1,790498,Titular único
10003802,1,378988,Titular único
10003805,1,793125,Titular único
10003806,1,530509,Titular único
10003809,1,790513,Titular único
10003810,2,,Múltiples titulares
10003812,2,,Múltiples titulares
10003813,1,466700,Titular único
10003815,1,527569,Titular único
10003816,1,122363,Titular único
10003817,2,,Múltiples titulares
10003819,1,792749,Titular único
10003820,1,910167,Titular único
10003821,1,794809,Titular único
10003822,2,,Múltiples titulares
10003824,1,523558,Titular único
10003829,1,521875,Titular único
10003831,1,527050,Titular único
10003835,1,519834,Titular único
10003839,1,207745,Titular único
10003841,1,796234,Titular único
10003843,1,795553,Titular único
10003844,1,42076,Titular único
10003845,1,529189,Titular único
10003904,1,3084,Titular único
10004020,1,787485,Titular único
10004069,1,92623,Titular único
10004096,1,716396,Titular único
10004099,1,716976,Titular único
10004101,1,432208,Titular único
10004103,1,428951,Titular único
10004107,1,432204,Titular único
10004111,1,792478,Titular único
10004129,1,716251,Titular único
10004174,1,793225,Titular único
10004347,1,530329,Titular único
10004518,1,529878,Titular único
10004543,2,,Múltiples titulares
10004544,1,397453,Titular único
10004545,1,50467,Titular único
10004549,1,87111,Titular único
10004552,1,793628,Titular único
10004555,1,721323,Titular único
10004556,1,110507,Titular único
10004558,1,796062,Titular único
10004561,1,795539,Titular único
10004562,3,,Múltiples titulares
10004564,1,793872,Titular único
10004580,1,647414,Titular único
10004581,1,800076,Titular único
10004584,1,523581,Titular único
10004585,1,529883,Titular único
10004586,1,259909,Titular único
10004587,2,,Múltiples titulares
10004595,1,530623,Titular único
10004596,2,,Múltiples titulares
10004598,2,,Múltiples titulares
10004602,1,10207155,Titular único
10004606,2,,Múltiples titulares
10004608,1,522536,Titular único
10004616,1,397810,Titular único
10004618,2,,Múltiples titulares
10004619,1,395480,Titular único
10004620,1,798706,Titular único
10004621,1,193465,Titular único
10004627,2,,Múltiples titulares
10004630,1,139543,Titular único
10004631,1,799552,Titular único
10004632,1,29846,Titular único
10004633,1,222388,Titular único
10004645,1,526994,Titular único
10004648,2,,Múltiples titulares
10004649,1,529675,Titular único
10004657,1,798250,Titular único
10004658,1,40991,Titular único
10004670,1,113883,Titular único
10004673,1,527530,Titular único
10004686,2,,Múltiples titulares
10004688,1,395318,Titular único
10004691,2,,Múltiples titulares
10004692,1,194183,Titular único
10004694,1,10265512,Titular único
10004696,1,518349,Titular único
10004697,1,796137,Titular único
10004698,1,807220,Titular único
10004699,1,516132,Titular único
10004703,1,396935,Titular único
10004704,2,,Múltiples titulares
10004705,2,,Múltiples titulares
10004712,1,523721,Titular único
10004715,2,,Múltiples titulares
10004717,2,,Múltiples titulares
10004719,1,798569,Titular único
10004721,1,518730,Titular único
10004722,1,265595,Titular único
10004723,1,529086,Titular único
10004725,1,796006,Titular único
10004726,2,,Múltiples titulares
10004727,2,,Múltiples titulares
10004734,1,934492,Titular único
10004737,1,525578,Titular único
10004738,1,519812,Titular único
10004739,1,352202,Titular único
10004741,1,527920,Titular único
10004743,1,112327,Titular único
10004745,2,,Múltiples titulares
10004747,3,,Múltiples titulares
10004921,2,,Múltiples titulares
10004924,2,,Múltiples titulares
10004926,2,,Múltiples titulares
10004927,2,,Múltiples titulares
10004928,1,796046,Titular único
10004929,1,801236,Titular único
10004930,2,,Múltiples titulares
10004931,1,113234,Titular único
10004934,2,,Múltiples titulares
10004936,1,396361,Titular único
10004938,2,,Múltiples titulares
10004940,1,524450,Titular único
10004943,2,,Múltiples titulares
10004944,1,522845,Titular único
10004945,2,,Múltiples titulares
10004947,2,,Múltiples titulares
10004948,2,,Múltiples titulares
10005021,1,84054,Titular único
10005022,2,,Múltiples titulares
10005023,4,,Múltiples titulares
10005026,2,,Múltiples titulares
10005028,2,,Múltiples titulares
10005029,2,,Múltiples titulares
10005030,4,,Múltiples titulares
10005031,1,794969,Titular único
10005032,3,,Múltiples titulares
10005036,1,798373,Titular único
10005046,1,791217,Titular único
10005047,1,794319,Titular único
10005049,1,523024,Titular único
10005054,3,,Múltiples titulares
10005055,1,794457,Titular único
10005056,3,,Múltiples titulares
10005058,1,527385,Titular único
10005059,1,520977,Titular único
10005060,1,795571,Titular único
10005061,1,519603,Titular único
10005063,1,794697,Titular único
10005064,2,,Múltiples titulares
10005065,1,521876,Titular único
10005067,1,795361,Titular único
10005068,1,525373,Titular único
10005088,1,793866,Titular único
10005120,1,111870,Titular único
10005128,1,529814,Titular único
10005140,1,396987,Titular único
10005142,1,397593,Titular único
10005143,1,59138,Titular único
10005144,1,524469,Titular único
10005149,1,793992,Titular único
10005153,1,805026,Titular único
10005154,1,791366,Titular único
10005155,1,59468,Titular único
10005157,1,396540,Titular único
10005158,1,419290,Titular único
10005159,2,,Múltiples titulares
10005161,1,524706,Titular único
10005163,1,174462,Titular único
10005165,1,517668,Titular único
10005167,1,527830,Titular único
10005170,1,523274,Titular único
10005171,1,527144,Titular único
10005175,2,,Múltiples titulares
10005179,1,115106,Titular único
10005181,2,,Múltiples titulares
10005184,1,530319,Titular único
10005185,1,791281,Titular único
10005186,2,,Múltiples titulares
10005188,1,112206,Titular único
10005191,1,526633,Titular único
10005192,1,524807,Titular único
10005193,1,529840,Titular único
10005195,1,397607,Titular único
10005198,1,139251,Titular único
10005199,1,797374,Titular único
10005201,1,390196,Titular único
10005202,2,,Múltiples titulares
10005204,1,521880,Titular único
10005211,1,791340,Titular único
10005213,1,396991,Titular único
10005214,1,791346,Titular único
10005215,1,797336,Titular único
10005218,1,800615,Titular único
10005220,1,523088,Titular único
10005227,2,,Múltiples titulares
10005229,2,,Múltiples titulares
10005339,1,925139,Titular único
10005357,1,219803,Titular único
10005487,1,716963,Titular único
10005566,1,716740,Titular único
10005678,1,10354158,Titular único
10005692,1,10160072,Titular único
10005715,1,524174,Titular único
10005719,1,528482,Titular único
10005723,1,528641,Titular único
10005724,1,528621,Titular único
10005738,1,523494,Titular único
10005743,2,,Múltiples titulares
10005746,2,,Múltiples titulares
10005748,2,,Múltiples titulares
10005749,1,10207354,Titular único
10005753,2,,Múltiples titulares
10005754,1,860429,Titular único
10005764,1,524578,Titular único
10005773,1,528246,Titular único
10005777,1,194412,Titular único
10005782,1,525318,Titular único
10005787,2,,Múltiples titulares
10005788,1,521112,Titular único
10005789,2,,Múltiples titulares
10005791,1,194334,Titular único
10005793,2,,Múltiples titulares
10005796,3,,Múltiples titulares
10005798,1,521316,Titular único
10005799,1,520086,Titular único
10005806,1,794303,Titular único
10005871,1,529356,Titular único
10005876,1,528071,Titular único
10005878,1,799136,Titular único
10005883,1,521992,Titular único
10005884,1,517054,Titular único
10005885,1,527668,Titular único
10005888,1,396444,Titular único
10005889,1,193200,Titular único
10005892,1,718500,Titular único
10005894,3,,Múltiples titulares
10005896,1,794504,Titular único
10005897,2,,Múltiples titulares
10005899,1,527098,Titular único
10005900,1,750338,Titular único
10005901,2,,Múltiples titulares
10005903,1,793220,Titular único
10005905,1,303433,Titular único
10005908,1,799095,Titular único
10005909,3,,Múltiples titulares
10005910,1,529581,Titular único
10005911,1,793562,Titular único
10005912,2,,Múltiples titulares
10005913,2,,Múltiples titulares
10005916,2,,Múltiples titulares
10005917,1,796444,Titular único
10005920,1,528347,Titular único
10005921,1,804204,Titular único
10005923,1,192904,Titular único
10005924,2,,Múltiples titulares
10005925,1,10324119,Titular único
10005926,1,799890,Titular único
10005928,1,798435,Titular único
10005929,1,799136,Titular único
10005930,3,,Múltiples titulares
10005931,1,194875,Titular único
10005933,1,794465,Titular único
10005934,1,531325,Titular único
10005936,2,,Múltiples titulares
10005937,2,,Múltiples titulares
10005940,1,193950,Titular único
10005941,1,657823,Titular único
10005942,2,,Múltiples titulares
10005945,1,798083,Titular único
10005946,3,,Múltiples titulares
10005947,2,,Múltiples titulares
10005948,1,529799,Titular único
10005949,2,,Múltiples titulares
10005950,2,,Múltiples titulares
10005952,2,,Múltiples titulares
10005954,2,,Múltiples titulares
10005955,1,527922,Titular único
10005956,2,,Múltiples titulares
10005961,2,,Múltiples titulares
10005962,2,,Múltiples titulares
10005964,2,,Múltiples titulares
10005965,1,72236,Titular único
10005966,2,,Múltiples titulares
10006020,1,932038,Titular único
10006023,1,796355,Titular único
10006029,2,,Múltiples titulares
10006030,1,794228,Titular único
10006033,3,,Múltiples titulares
10006036,1,525298,Titular único
10006037,2,,Múltiples titulares
10006038,1,647258,Titular único
10006040,1,796898,Titular único
10006041,2,,Múltiples titulares
10006043,1,521000,Titular único
10006046,2,,Múltiples titulares
10006047,1,731337,Titular único
10006093,1,528425,Titular único
10006100,1,519880,Titular único
10006116,1,326951,Titular único
10006117,1,519570,Titular único
10006118,2,,Múltiples titulares
10006119,1,397890,Titular único
10006120,5,,Múltiples titulares
10006121,1,518782,Titular único
10006122,1,436278,Titular único
10006123,5,,Múltiples titulares
10006125,2,,Múltiples titulares
10006126,3,,Múltiples titulares
10006127,4,,Múltiples titulares
10006128,5,,Múltiples titulares
10006129,2,,Múltiples titulares
10006130,1,194793,Titular único
10006131,2,,Múltiples titulares
10006132,2,,Múltiples titulares
10006153,1,519037,Titular único
10006164,2,,Múltiples titulares
10006168,1,528841,Titular único
10006171,1,520588,Titular único
10006179,1,520642,Titular único
10006187,2,,Múltiples titulares
10006193,3,,Múltiples titulares
10006195,2,,Múltiples titulares
10006197,2,,Múltiples titulares
10006198,2,,Múltiples titulares
10006200,1,742832,Titular único
10006203,1,175478,Titular único
10006207,3,,Múltiples titulares
10006208,1,529536,Titular único
10006211,1,10135811,Titular único
10006213,1,798224,Titular único
10006216,1,809026,Titular único
10006219,2,,Múltiples titulares
10006220,1,326888,Titular único
10006225,1,528896,Titular único
10006228,1,403946,Titular único
10006229,3,,Múltiples titulares
10006233,2,,Múltiples titulares
10006234,1,529575,Titular único
10006237,1,795805,Titular único
10006238,4,,Múltiples titulares
